変数名,VIF
const,25.555286300664992
築年数_num,1.037531578319425
面積_num,1.076751802620083
徒歩分_num,1.04143496880602
カテゴリ_中心市街地,1.322915508514263
カテゴリ_住宅地,1.555943812030446
カテゴリ_郊外,1.6062946805014393
